rxns	MEAN_M145_21	MEAN_M145_29	MEAN_M145_33	MEAN_M145_37	MEAN_M145_41	MEAN_M145_45	MEAN_M145_49	MEAN_M145_53	MEAN_M145_57	MEAN_M1152_33	MEAN_M1152_41	MEAN_M1152_45	MEAN_M1152_49	MEAN_M1152_53	MEAN_M1152_57	MEAN_M1152_61	MEAN_M1152_65	STDEV_M145_21	STDEV_M145_29	STDEV_M145_33	STDEV_M145_37	STDEV_M145_41	STDEV_M145_45	STDEV_M145_49	STDEV_M145_53	STDEV_M145_57	STDEV_M1152_33	STDEV_M1152_41	STDEV_M1152_45	STDEV_M1152_49	STDEV_M1152_53	STDEV_M1152_57	STDEV_M1152_61	STDEV_M1152_65
3HADai90	8.106869e-04	7.766074e-04	7.248682e-04	9.452772e-05	9.038203e-05	9.529786e-05	3.951281e-05	3.927745e-05	4.479184e-05	7.220746e-04	6.449475e-04	5.243285e-04	4.373981e-04	8.036681e-05	9.018142e-05	1.042545e-04	1.069191e-04	4.376465e-17	2.625033e-07	3.957662e-07	2.648051e-06	2.355517e-06	2.449037e-06	1.403306e-06	1.333210e-06	1.554650e-06	2.310278e-11	1.978180e-07	1.162555e-06	1.488684e-06	2.744365e-06	2.149806e-06	2.328303e-06	2.776554e-06
3HADi100	5.811129e-04	5.566842e-04	5.195967e-04	6.775893e-05	6.478723e-05	6.831097e-05	2.832339e-05	2.815468e-05	3.210748e-05	5.175942e-04	4.623083e-04	3.758468e-04	3.135337e-04	5.760817e-05	6.464343e-05	7.473127e-05	7.664126e-05	2.741380e-17	1.881664e-07	2.836913e-07	1.898163e-06	1.688471e-06	1.755508e-06	1.005911e-06	9.556654e-07	1.114397e-06	1.656043e-11	1.417990e-07	8.333374e-07	1.067111e-06	1.967203e-06	1.541014e-06	1.668964e-06	1.990277e-06
3HADi110	4.248166e-04	4.069583e-04	3.798458e-04	4.953447e-05	4.736204e-05	4.993804e-05	2.070552e-05	2.058219e-05	2.347184e-05	3.783819e-04	3.379658e-04	2.747589e-04	2.292056e-04	4.211386e-05	4.725692e-05	5.463153e-05	5.602781e-05	9.475003e-18	1.375571e-07	2.073896e-07	1.387633e-06	1.234340e-06	1.283346e-06	7.353612e-07	6.986294e-07	8.146686e-07	1.210633e-11	1.036607e-07	6.092028e-07	7.801009e-07	1.438104e-06	1.126543e-06	1.220079e-06	1.454972e-06
3HADi120	5.811129e-04	5.566842e-04	5.195967e-04	6.775893e-05	6.478723e-05	6.831097e-05	2.832339e-05	2.815468e-05	3.210748e-05	5.175942e-04	4.623083e-04	3.758468e-04	3.135337e-04	5.760817e-05	6.464343e-05	7.473127e-05	7.664126e-05	2.741232e-17	1.881664e-07	2.836913e-07	1.898163e-06	1.688471e-06	1.755508e-06	1.005911e-06	9.556654e-07	1.114397e-06	1.656043e-11	1.417990e-07	8.333374e-07	1.067111e-06	1.967203e-06	1.541014e-06	1.668964e-06	1.990277e-06
3HADi130	4.248166e-04	4.069583e-04	3.798458e-04	4.953447e-05	4.736204e-05	4.993804e-05	2.070552e-05	2.058219e-05	2.347184e-05	3.783819e-04	3.379658e-04	2.747589e-04	2.292056e-04	4.211386e-05	4.725692e-05	5.463153e-05	5.602781e-05	9.475573e-18	1.375571e-07	2.073896e-07	1.387633e-06	1.234340e-06	1.283346e-06	7.353612e-07	6.986294e-07	8.146686e-07	1.210633e-11	1.036607e-07	6.092028e-07	7.801009e-07	1.438104e-06	1.126543e-06	1.220079e-06	1.454972e-06
3HADi140	5.811129e-04	5.566842e-04	5.195967e-04	6.775893e-05	6.478723e-05	6.831097e-05	2.832339e-05	2.815468e-05	3.210748e-05	5.175942e-04	4.623083e-04	3.758468e-04	3.135337e-04	5.760817e-05	6.464343e-05	7.473127e-05	7.664126e-05	2.741256e-17	1.881664e-07	2.836913e-07	1.898163e-06	1.688471e-06	1.755508e-06	1.005911e-06	9.556654e-07	1.114397e-06	1.656043e-11	1.417990e-07	8.333374e-07	1.067111e-06	1.967203e-06	1.541014e-06	1.668964e-06	1.990277e-06
3HADi150	4.248166e-04	4.069583e-04	3.798458e-04	4.953447e-05	4.736204e-05	4.993804e-05	2.070552e-05	2.058219e-05	2.347184e-05	3.783819e-04	3.379658e-04	2.747589e-04	2.292056e-04	4.211386e-05	4.725692e-05	5.463153e-05	5.602781e-05	9.433038e-18	1.375571e-07	2.073896e-07	1.387633e-06	1.234340e-06	1.283346e-06	7.353612e-07	6.986294e-07	8.146686e-07	1.210633e-11	1.036607e-07	6.092028e-07	7.801009e-07	1.438104e-06	1.126543e-06	1.220079e-06	1.454972e-06
3HADi160	4.956716e-04	4.748346e-04	4.432001e-04	5.779630e-05	5.526153e-05	5.826718e-05	2.415899e-05	2.401509e-05	2.738670e-05	4.414921e-04	3.943349e-04	3.205858e-04	2.674347e-04	4.913802e-05	5.513888e-05	6.374349e-05	6.537266e-05	2.666034e-17	1.605002e-07	2.419800e-07	1.619076e-06	1.440215e-06	1.497395e-06	8.580118e-07	8.151535e-07	9.505467e-07	1.412554e-11	1.209502e-07	7.108114e-07	9.102136e-07	1.677964e-06	1.314438e-06	1.423575e-06	1.697646e-06
3HADi170	1.806398e-04	1.730461e-04	1.615174e-04	2.106296e-05	2.013920e-05	2.123456e-05	8.804366e-06	8.751924e-06	9.980656e-06	1.608949e-04	1.437092e-04	1.168325e-04	9.746239e-05	1.790758e-05	2.009450e-05	2.323032e-05	2.382405e-05	1.947370e-17	5.849181e-08	8.818585e-08	5.900468e-07	5.248637e-07	5.457021e-07	3.126890e-07	2.970700e-07	3.464119e-07	5.147832e-12	4.407841e-08	2.590441e-07	3.317131e-07	6.115079e-07	4.790264e-07	5.187997e-07	6.186805e-07
3HADi180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
