index,Reaction ID,MNX 1,MNX 2,MNX 3
744,FUMAH,MNXR99707,,
745,FUTH,MNXR99765,,
746,G1Dx,MNXR106461,,
747,G1PACT,MNXR138455,MNXR109490,
748,G1PCTYT,MNXR99842,MNXR139954,
749,G1PTT,MNXR140045,MNXR99846,
750,G1SAT,MNXR99850,,
751,G3PCT,MNXR99872,,
752,G3PD,MNXR99875,,
753,G3PD2,MNXR99877,MNXR115935,
754,G3PD5,MNXR99880,MNXR112172,
755,G3PD6,MNXR99881,,
756,G3PD7,MNXR99882,,
757,G5SADs,MNXR139188,MNXR99897,
758,G5SD,MNXR99896,,
759,G6PBDH,MNXR99907,MNXR99903,
760,G6PDA,MNXR138459,,
761,G6PDH1b,MNXR114219,,
762,G6PDH2r,MNXR99907,MNXR118956,
763,G6PI,MNXR99909,MNXR99911,
764,GABTA,MNXR113544,,
765,GADECARB,MNXR108044,,
766,GAL6PI,MNXR108042,,
767,GALACDH,MNXR111270,,
768,GALCTD,MNXR99955,,
769,GALCTND,MNXR99957,,
770,GALIGH,MNXR99984,,
771,GALKr,MNXR99985,,
772,GALM1,MNXR138465,,
773,GALM2,MNXR113944,MNXR99987,
774,GALOO,MNXR108242,,
775,GALS3,MNXR97317,MNXR138470,
776,GALT,MNXR138471,MNXR100014,
777,GALURDH,MNXR124094,MNXR107259,
778,GALUi,MNXR100022,MNXR140068,
779,GAPD,MNXR100040,,
780,GARFT,MNXR139268,MNXR99623,
781,GCALDD,MNXR100060,,
782,GCCc,MNXR100069,,
783,GCGBGE,MNXR116580,,
784,GCGUAIDH,MNXR116577,,
785,GCL,MNXR100074,,
786,GDCARBM,MNXR120493,,
787,GDP64HRD,MNXR119906,,
788,GDPDPK,MNXR100088,,
789,GDPMANDH,MNXR106733,MNXR139007,
790,GDPMNP,MNXR138475,MNXR100092,
791,GDPTPDP,MNXR100094,,
792,GEOSMS,MNXR122842,,
793,GERDH,MNXR113664,,
794,GERDPM,MNXR113337,,
795,GERISOs,MNXR111678,,
796,GF4GL_0,MNXR140812,MNXR100100,MNXR139704
797,GF4GL_1,MNXR100101,,
798,GF6PTA,MNXR138476,,
799,GGGABADH,MNXR123175,,
800,GGHCSH,MNXR114325,,
801,GGLACOX,MNXR139179,MNXR140097,
802,GGLGH,MNXR138478,MNXR100115,
803,GGLUPUT,MNXR111058,,
804,GGTT,MNXR100137,MNXR140860,
805,GHBDHy,MNXR100141,,
806,GHMT2r,MNXR100142,MNXR139018,
807,GK1i,MNXR100144,,
808,GLBRAN2,MNXR100155,,
809,GLC15LACH,MNXR107037,,
810,GLCATr,MNXR100176,,
811,GLCOAS,MNXR100212,,
812,GLCP,MNXR100214,,
813,GLCP2,MNXR100215,,
814,GLCRAL,MNXR100219,,
815,GLCRD,MNXR100220,,
816,GLCRD2,MNXR111637,,
817,GLCS1,MNXR100223,,
818,GLDBRAN2,MNXR100155,,
819,GLGC,MNXR100243,MNXR140067,
820,GLNLASE,MNXR100250,,
821,GLNS,MNXR100024,,
822,GLNTRS,MNXR115929,MNXR100257,
823,GLU5K,MNXR100277,,
824,GLUAAT,MNXR108195,,
825,GLUCORDH,MNXR112870,MNXR116911,
826,GLUDC,MNXR95942,,
827,GLUDxi,MNXR100085,,
828,GLUDyi,MNXR100086,,
829,GLUKB,MNXR107081,,
830,GLULACIs,MNXR119698,,
831,GLUN,MNXR100030,,
832,GLUPRT,MNXR100287,,
833,GLUR,MNXR100288,,
834,GLUSAD,MNXR114287,,
835,GLUSx,MNXR100289,,
836,GLUSy,MNXR100291,,
837,GLUTCOADHc,MNXR100293,,
838,GLUTPAT,MNXR108196,,
839,GLUTRR,MNXR100294,,
840,GLUTRS,MNXR100295,,
841,GLXCL,MNXR100303,,
842,GLYALDDr,MNXR100310,,
843,GLYAT,MNXR100313,,
844,GLYCDx,MNXR100326,,
845,GLYCK,MNXR100328,,
846,GLYCK2,MNXR100329,,
847,GLYCL,MNXR100330,MNXR139026,
848,GLYCTD,MNXR100331,,
849,GLYCTO1,MNXR100338,,
850,GLYCTO2,MNXR100339,,
851,GLYCTO3,MNXR100340,,
852,GLYCTO4,MNXR100341,,
853,GLYDHD,MNXR100067,,
854,GLYK,MNXR100348,,
855,GLYO1,MNXR100352,,
856,GLYOX,MNXR100353,,
857,GLYTRS,MNXR100365,,
858,GMAND,MNXR100377,,
859,GMGGDCAP,MNXR117167,,
860,GMHEPAT,MNXR138483,MNXR100378,
861,GMPS,MNXR138485,,
862,GMPS2,MNXR100384,MNXR138486,
863,GND,MNXR100389,,
864,GND2,MNXR113581,,
865,GNK,MNXR100390,,
866,GNNUC,MNXR100392,,
867,GPDDA1,MNXR100410,,
868,GPDDA1e,MNXR100410,,
869,GPDDA2,MNXR100411,,
870,GPDDA2e,MNXR100411,,
871,GPDDA3,MNXR100412,,
872,GPDDA4,MNXR100413,,
873,GPDDA5,MNXR100414,,
874,GPDDA5e,MNXR100414,,
875,GRMCRDS,MNXR111247,,
876,GRMCROS,MNXR111246,,
877,GRTT,MNXR99634,,
878,GSMNSYN,MNXR112909,,
879,GTHPi,MNXR100446,,
880,GTHRDH,MNXR100136,,
881,GTPCI,MNXR138491,MNXR100453,
882,GTPCII2,MNXR100455,,
883,GTPDPDP,MNXR100099,,
884,GTPDPK,MNXR100457,,
885,GTPHs,MNXR100459,,
886,GUACYC,MNXR100463,,
887,GUAPRT,MNXR100409,,
888,GUDBUTNAH,MNXR100467,,
889,GUL14LACDH,MNXR140405,,
890,GUL5DH,MNXR114163,,
891,H2SO,MNXR100493,,
892,HACD1,MNXR100541,,
893,HACD2,MNXR100543,,
894,HACD3,MNXR118593,MNXR100544,
895,HACD4,MNXR100545,,
896,HACD5,MNXR100546,,
897,HACD6,MNXR100547,,
898,HACD7,MNXR100548,,
899,HACD8,MNXR100549,,
900,HACD9,MNXR100550,,
901,HADPCOADH3,MNXR100555,,
902,HBCOA3E,MNXR108069,,
903,HBCO_nadp,MNXR100565,,
904,HBZOPT,MNXR100566,,
905,HCO3E,MNXR100482,,
906,HCSUCT,MNXR116635,,
907,HCYSMT,MNXR138506,,
908,HDXSQLS,MNXR114707,,
909,HEMEAS,MNXR100591,,
910,HEMEOS,MNXR139535,MNXR100596,
911,HEP7PHOK,MNXR139388,MNXR109732,
912,HEPTT,MNXR109713,,
913,HERCOX,MNXR114317,,
914,HEX1,MNXR100612,,
915,HEX4,MNXR140113,MNXR138046,
916,HEX7,MNXR138514,,
917,HEXHYD,MNXR122501,,
918,HEXTT,MNXR100621,,
919,HGNTOR,MNXR100628,,
920,HIBD,MNXR100663,MNXR100632,
921,HISNH4L,MNXR100639,,
922,HISTD,MNXR100587,,
923,HISTDa,MNXR106847,,
924,HISTDb,MNXR107887,,
925,HISTP,MNXR100642,,
926,HISTRS,MNXR100643,,
927,HKYNH,MNXR100656,,
928,HMBS,MNXR100658,,
929,HMGL,MNXR100662,MNXR106950,
930,HMMSHALDs,MNXR113658,,
931,HMPK1,MNXR100664,,
932,HMPK2,MNXR100665,,
933,HMPK3,MNXR100666,,
934,HMPK4,MNXR100667,,
935,HMSD,MNXR126712,,
936,HOPNTAL3,MNXR116061,MNXR100679,
937,HOXPR2,MNXR107151,,
938,HPCOR,MNXR139319,MNXR100685,
939,HPHL,MNXR100691,MNXR139166,
940,HPPK2,MNXR100694,,
941,HPROb,MNXR123789,MNXR100699,
942,HPYRI,MNXR100692,,
943,HPYRRx,MNXR100325,MNXR115974,
944,HPYRRy,MNXR100336,,
945,HSDxi,MNXR100735,,
946,HSDy,MNXR100734,MNXR115966,
947,HSK,MNXR100737,,
948,HSST,MNXR100741,,
949,HSTPT,MNXR95852,,
950,HURH,MNXR100652,,
951,HXAND,MNXR100747,,
952,HXPRT,MNXR100752,,
953,I3PYRMO,MNXR113547,,
954,IBTMr,MNXR100777,,
955,ICDHyr,MNXR100781,,
956,ICHORS,MNXR100784,,
957,ICL,MNXR100789,,
958,ICYSDS,MNXR100790,MNXR111094,
959,IDOND,MNXR100801,,
960,IDOND2,MNXR100802,,
961,IDPS2,MNXR109914,,
962,IG3PS,MNXR100811,,
963,IGAMD,MNXR113065,MNXR100812,
964,IGPDH,MNXR100813,,
965,IGPS,MNXR100814,,
966,ILEDHr,MNXR100816,MNXR107368,
967,ILETA,MNXR96228,,
968,ILETRS,MNXR100820,,
969,IMPC,MNXR100783,,
970,IMPD,MNXR138530,MNXR100830,
971,INS2D,MNXR100842,,
972,INSDH,MNXR137940,,
973,INSH,MNXR100844,,
974,IPAXYL,MNXR140260,,
975,IPDDI,MNXR100796,,
976,IPDPS,MNXR100874,,
977,IPMD,MNXR100878,,
978,IPPMIa,MNXR100827,,
979,IPPMIb,MNXR100826,,
980,IPPS,MNXR100879,,
981,ITPOCL,MNXR106653,,
982,IZPN,MNXR137949,MNXR100896,
983,KARA1,MNXR97523,,
984,KARA1i,MNXR97523,MNXR119811,
985,KARA2,MNXR119812,MNXR100902,
986,KARI,MNXR100903,,
987,KARI_23dhmb,MNXR100904,,
988,KARI_23dhmp,MNXR100905,,
989,KARI_3hmoa,MNXR100906,,
990,KAS14,MNXR100912,,
991,KAS15,MNXR100913,,
992,KHK,MNXR138536,,
993,KHK2,MNXR100937,MNXR139076,
994,KYN,MNXR100946,,
995,LACDHCYT,MNXR138960,MNXR140040,
996,LACZ,MNXR101000,,
997,LADGMDH,MNXR101002,,
998,LALDD2,MNXR101008,,
999,LAURAT,MNXR109353,MNXR116017,
1000,LCADi,MNXR101018,,
1001,LCYB,MNXR100063,,
1002,LCYG,MNXR101031,,
1003,LDH_D,MNXR101037,,
1004,LEUTA,MNXR96229,,
1005,LEUTRS,MNXR101053,,
1006,LFORKYNHYD,MNXR108539,MNXR101060,
1007,LGALACD,MNXR119713,,
1008,LHISTMT,MNXR106850,,
1009,LIPAMPL,MNXR138544,MNXR139559,
1010,LIPATPT,MNXR101081,MNXR138545,
1011,LIPOCT,MNXR101089,MNXR111354,
1012,LIPOS,MNXR101090,,
1013,LLEUDr,MNXR101096,,
1014,LLYXDH,MNXR119472,,
1015,LPFPLT,MNXR101134,MNXR140811,MNXR139703
1016,LPPGS,MNXR101200,,
1017,LTHRK,MNXR101251,,
1018,LYS6MO,MNXR106536,,
1019,LYSDC,MNXR101256,,
1020,LYSTRS,MNXR101264,,
1021,LYXI,MNXR138561,,
1022,LYXID,MNXR107223,,
1023,MACACI,MNXR101325,,
1024,MACCOAT,MNXR95195,,
1025,MACPAL,MNXR114809,,
1026,MACPD,MNXR101327,,
1027,MAHYD,MNXR114025,,
1028,MALCOAMT,MNXR114810,MNXR101337,
1029,MALEI,MNXR101342,,
1030,MALPYRISO,MNXR108488,,
1031,MALS,MNXR101347,,
1032,MALT,MNXR101350,,
1033,MALTATr,MNXR101351,,
1034,MALTHIK,MNXR106887,,
1035,MAN1PPP,MNXR107343,,
1036,MAN1PT,MNXR138572,MNXR101375,
1037,MAN6PI,MNXR138575,,
1038,MANISOs,MNXR140423,,
1039,MBCOA2,MNXR108000,,
1040,MBCOAi,MNXR95318,,
1041,MCCC,MNXR101411,,
1042,MCOALY,MNXR106546,,
1043,MCOATA,MNXR101421,,
1044,MCPST,MNXR138585,,
1045,MCPST2,MNXR107950,,
1046,MCSNAH,MNXR101425,,
1047,MDH,MNXR101439,,
1048,ME1,MNXR101446,,
1049,ME2,MNXR101443,,
1050,MECDPDH2,MNXR101448,,
1051,MECDPDH5_2,MNXR114173,,
1052,MECDPS,MNXR101424,,
1053,MELTGH,MNXR101463,,
1054,MEPCT,MNXR96807,,
1055,METAT,MNXR101407,,
1056,METB1,MNXR95637,,
1057,METOX1s,MNXR101479,,
1058,METOX2s,MNXR138590,,
1059,METS,MNXR138591,MNXR139019,
1060,METSOXR1,MNXR101484,MNXR138594,
1061,METSOXR2,MNXR138594,,
1062,METTRS,MNXR101488,,
1063,MGCH,MNXR101513,MNXR107307,
1064,MGLYXOX,MNXR106430,,
1065,MGSDGS,MNXR114165,MNXR107670,
1066,MHPGLUT,MNXR138611,,
1067,MI1PP,MNXR101570,,
1068,MI1PS,MNXR101571,,
1069,MI1PS2,MNXR101572,MNXR101575,
1070,MI3PP,MNXR101574,,
1071,MLTG1,MNXR138614,,
1072,MLTG1e,MNXR140933,MNXR138614,
1073,MLTG2,MNXR138615,,
1074,MLTG3,MNXR138616,,
1075,MLTG4,MNXR138617,,
1076,MLTG5,MNXR138618,,
1077,MLTP1,MNXR138619,,
1078,MLTP2,MNXR138620,,
1079,MLTP3,MNXR138621,,
1080,MMCOAL,MNXR108133,,
1081,MME,MNXR101657,,
1082,MMM,MNXR101660,MNXR101661,
1083,MMSAD1,MNXR101662,MNXR114956,
1084,MMSAD3,MNXR101665,,
1085,MMSAD5,MNXR108132,,
1086,MMTSAO,MNXR101666,,
1087,MNLDH2,MNXR138623,,
1088,MNNH,MNXR138624,,
1089,MOADSUx,MNXR101682,,
1090,MOCOS,MNXR138626,MNXR139727,
1091,MOGDS,MNXR138629,,
1092,MOHMT,MNXR101702,MNXR139028,
1093,MPAHYD,MNXR122461,,
1094,MPL,MNXR101717,MNXR140109,
1095,MPML,MNXR101721,,
1096,MPTAT,MNXR101730,,
1097,MPTG,MNXR101731,,
1098,MPTG2,MNXR101732,,
1099,MPTS,MNXR138641,,
1100,MPTSS,MNXR101736,,
1101,MSHS,MNXR113037,MNXR101740,
1102,MSUCOADH,MNXR122568,,
1103,MTAM_nh4,MNXR100068,MNXR139249,
1104,MTAN,MNXR101744,MNXR138642,
1105,MTAP,MNXR101745,,
1106,MTBUTEMO,MNXR121036,,
1107,MTFHSs,MNXR140733,MNXR139670,
1108,MTHFC,MNXR101748,,
1109,MTHFD,MNXR101749,,
1110,MTHFR2,MNXR101751,,
1111,MTHFR3_1,MNXR101752,,
1112,MTI,MNXR138644,MNXR101757,
1113,MTRI,MNXR101759,,
1114,MUCCY,MNXR101765,,
1115,MYCARSL,MNXR116769,,
1116,MYCFORM,MNXR112566,,
1117,MYCTR,MNXR101792,MNXR109780,
1118,NAACPHYD,MNXR112704,,
1119,NABTNO,MNXR101805,,
1120,NADDP,MNXR101861,,
1121,NADH10b,MNXR107856,,
1122,NADH2r,MNXR101870,,
1123,NADH9,MNXR101876,,
1124,NADHXDH,MNXR113625,,
1125,NADHXE,MNXR113637,,
1126,NADHXSs__R,MNXR117737,,
1127,NADHXSs__S,MNXR117736,,
1128,NADK,MNXR101882,,
1129,NADPHQR4,MNXR101893,,
1130,NADPHXD,MNXR113626,,
1131,NADPHXE,MNXR113638,,
1132,NADS1,MNXR101897,,
1133,NADS2,MNXR97678,,
1134,NADTRHD,MNXR101898,,
1135,NAMNPP,MNXR101909,,
1136,NCTPPRT,MNXR101910,,
1137,NDPK1,MNXR96119,,
1138,NDPK2,MNXR101935,,
1139,NDPK3,MNXR101936,,
1140,NDPK4,MNXR101937,,
1141,NDPK5,MNXR96118,,
1142,NDPK6,MNXR101938,,
1143,NDPK7,MNXR101939,,
1144,NDPK8,MNXR101940,,
1145,NDPK9,MNXR101941,,
1146,NHHAAH,MNXR108009,,
1147,NICMO,MNXR123801,,
1148,NMNAT,MNXR95841,,
1149,NMNDA,MNXR101969,,
1150,NMNHYD,MNXR101970,,
1151,NNAM,MNXR101977,,
1152,NNATr,MNXR101978,,
1153,NNDMBRT,MNXR139254,MNXR101979,
1154,NNDPR,MNXR101980,,
1155,NODOx,MNXR101996,,
1156,NODOy,MNXR101997,MNXR116243,
1157,NOR_syn,MNXR101983,,
1158,NP1,MNXR102011,,
1159,NPHS,MNXR102012,,
1160,NSHDDS,MNXR122122,,
1161,NT5C,MNXR102027,,
1162,NTD10e,MNXR138658,MNXR102029,
1163,NTD11e,MNXR102030,,
1164,NTD1e,MNXR102028,,
1165,NTD2e,MNXR102032,,
1166,NTD3e,MNXR102033,,
1167,NTD4e,MNXR102034,,
1168,NTD5e,MNXR102035,,
1169,NTD6e,MNXR102036,,
1170,NTD7e,MNXR102037,,
1171,NTD8e,MNXR102038,,
1172,NTD9e,MNXR100381,,
1173,NTP1,MNXR96131,,
1174,NTP10,MNXR100892,,
1175,NTP3,MNXR102043,,
1176,NTP5,MNXR102045,,
1177,NTPP1,MNXR102049,,
1178,NTPP10,MNXR102050,,
1179,NTPP11,MNXR102051,MNXR138659,
1180,NTPP2,MNXR102052,,
1181,NTPP3,MNXR97203,,
1182,NTPP4,MNXR102053,,
1183,NTPP5,MNXR97173,,
1184,NTPP6,MNXR102054,,
1185,NTPP7,MNXR97809,,
1186,NTPP8,MNXR102055,,
1187,NTPP9,MNXR102056,,
1188,NTPTP1,MNXR102057,,
1189,NTPTP2,MNXR102058,,
1190,NTRIR2x,MNXR102062,,
1191,NTRIR2y,MNXR102063,,
1192,O426ISO,MNXR121061,,
1193,O4OXOCYR,MNXR140611,,
1194,OAADC,MNXR102097,,
1195,OCDOR,MNXR102146,,
1196,OCOAT1,MNXR102148,,
1197,OCT,MNXR102137,,
1198,OCTNLL,MNXR102155,,
1199,OCTSYN,MNXR122841,,
1200,OCTTT,MNXR110950,,
1201,OGMEACPD,MNXR102159,,
1202,OGMEACPR,MNXR102160,,
1203,OHCUS,MNXR110386,MNXR96142,
1204,OHPBAT,MNXR102169,,
1205,OIVD1r,MNXR102172,,
1206,OIVD2,MNXR102173,,
1207,OIVD3,MNXR102174,MNXR107999,
1208,OMCDC,MNXR102180,,
1209,OMPDC,MNXR102190,,
1210,ONTROOXR,MNXR140612,,
1211,OP4ENH3,MNXR126136,MNXR115031,MNXR102198
1212,OPHBDC,MNXR102201,,
1213,OPMEACPD,MNXR102206,,
1214,OPMEACPR,MNXR102207,,
1215,OPMEACPS,MNXR102208,,
1216,ORNDC,MNXR102209,,
1217,ORNHYDXx,MNXR118296,MNXR114106,
1218,ORNHYDXy,MNXR114105,,
1219,ORNTA,MNXR102220,,
1220,ORNTAC,MNXR102221,,
1221,ORPT,MNXR102231,,
1222,OXBPTA,MNXR106778,,
1223,OXCDC,MNXR102239,,
1224,OXDHCOAT,MNXR102241,,
1225,OXOAEL,MNXR102247,,
1226,OXPTNDH,MNXR102248,,
1227,P2OLDH,MNXR114023,,
1228,P4CADH,MNXR122085,MNXR140797,
1229,P5CD,MNXR138985,MNXR102301,
1230,P5CR,MNXR140138,MNXR139030,MNXR102302
1231,PAAT,MNXR112228,,
1232,PACCOAE,MNXR113240,MNXR102314,
1233,PACCOAL,MNXR102315,,
1234,PACPTc,MNXR138680,,
1235,PANTS,MNXR102345,MNXR139115,
1236,PAPA120,MNXR107398,MNXR102347,
1237,PAPA140,MNXR107398,MNXR102348,
1238,PAPA141,MNXR107398,MNXR102349,
1239,PAPA150,MNXR107398,,
1240,PAPA160,MNXR107398,MNXR102350,
1241,PAPA161,MNXR107398,MNXR102353,
1242,PAPA170,MNXR107398,,
1243,PAPA180,MNXR107398,MNXR102354,
1244,PAPA181,MNXR107398,MNXR102356,
1245,PAPAai150,MNXR107398,,
1246,PAPAai170,MNXR107398,,
1247,PAPAi140,MNXR107398,,
1248,PAPAi150,MNXR107398,,
1249,PAPAi160,MNXR107398,,
1250,PAPAi170,MNXR107398,,
1251,PAPAi180,MNXR107398,,
1252,PAPPT3,MNXR139385,MNXR102373,
1253,PAPSR,MNXR102376,,
1254,PC,MNXR102391,,
1255,PC11M,MNXR138686,,
1256,PC17M,MNXR138687,,
1257,PC20M,MNXR102394,,
1258,PC3BS,MNXR139345,,
1259,PC6AR,MNXR138688,,
1260,PC6AS,MNXR103404,,
1261,PC6YM,MNXR109355,,
1262,PC8XM,MNXR138689,,
1263,PCADYOX,MNXR102399,,
1264,PCFO,MNXR139009,,
1265,PDE1,MNXR95886,,
1266,PDE4,MNXR100078,,
1267,PDH,MNXR102425,,
1268,PDH3,MNXR107980,,
1269,PDHe3hr,MNXR100066,,
1270,PDX5POi,MNXR102438,,
1271,PEAMNO,MNXR102461,,
1272,PENAM,MNXR102481,,
1273,PEPCK,MNXR102487,,
1274,PFK,MNXR138694,,
1275,PFK_2,MNXR102509,,
1276,PFK_3,MNXR102510,,
1277,PGAMT,MNXR102526,,
1278,PGCD,MNXR102527,,
1279,PGI,MNXR138699,,
1280,PGIA,MNXR102536,,
1281,PGK,MNXR102538,,
1282,PGL,MNXR102539,,
1283,PGLYCP,MNXR102543,,
1284,PGM,MNXR102547,,
1285,PGMT,MNXR102548,,
1286,PGSA120,MNXR107179,MNXR102589,
1287,PGSA140,MNXR107179,MNXR102590,
1288,PGSA141,MNXR107179,MNXR102591,
1289,PGSA150,MNXR107179,,
1290,PGSA160,MNXR107179,MNXR102592,
1291,PGSA161,MNXR102594,MNXR107179,
1292,PGSA170,MNXR107179,,
1293,PGSA180,MNXR107179,MNXR102595,
1294,PGSA181,MNXR102596,MNXR107179,
1295,PGSAai150,MNXR107179,,
1296,PGSAai170,MNXR107179,,
1297,PGSAi140,MNXR107179,,
1298,PGSAi150,MNXR107179,,
1299,PGSAi160,MNXR107179,,
1300,PGSAi170,MNXR107179,,
1301,PGSAi180,MNXR107179,,
1302,PHACTE,MNXR102614,,
1303,PHCD,MNXR102616,,
1304,PHCHGS,MNXR102617,,
1305,PHETA1,MNXR126234,MNXR138701,
1306,PHETRS,MNXR102634,,
1307,PHYCBOXL,MNXR102650,,
1308,PHYFLUDS,MNXR109116,MNXR122113,
1309,PHYSYN,MNXR139263,MNXR139516,
1310,PHYTDES,MNXR113105,MNXR122112,
1311,PHYTES,MNXR138705,,
1312,PICDDHs,MNXR116488,,
1313,PINOS120,MNXR96545,,
1314,PINOS140,MNXR96545,,
1315,PINOS141,MNXR96545,,
1316,PINOS150,MNXR96545,,
1317,PINOS160,MNXR96545,,
1318,PINOS161,MNXR96545,,
1319,PINOS170,MNXR96545,,
1320,PINOS180,MNXR96545,,
1321,PINOS181,MNXR96545,,
1322,PINOSai150,MNXR96545,,
1323,PINOSai170,MNXR96545,,
1324,PINOSi140,MNXR96545,,
1325,PINOSi150,MNXR96545,,
1326,PINOSi160,MNXR96545,,
1327,PINOSi170,MNXR96545,,
1328,PINOSi180,MNXR96545,,
1329,PKBBS,MNXR110417,,
1330,PMANM,MNXR101729,MNXR138640,
1331,PMDPHT,MNXR96145,,
1332,PMEACPE,MNXR103041,,
1333,PMPK,MNXR103045,,
1334,PNP,MNXR103048,,
1335,PNTK,MNXR139165,MNXR103050,
1336,POR_1,MNXR103065,MNXR108471,
1337,PPA,MNXR100808,,
1338,PPAKr,MNXR106946,MNXR95897,
1339,PPBNGS,MNXR103095,,
1340,PPC,MNXR103096,,
1341,PPCDC,MNXR138714,MNXR103098,
1342,PPCK,MNXR103099,,
1343,PPCOAC,MNXR103100,,
1344,PPDK,MNXR103107,,
1345,PPGPPDP,MNXR103109,,
1346,PPK2r,MNXR103113,,
1347,PPM,MNXR106810,MNXR103115,
1348,PPM2,MNXR103116,MNXR138715,
1349,PPNAD2OR,MNXR107408,,
1350,PPNCL2,MNXR103119,,
1351,PPNCL3,MNXR103120,,
1352,PPND,MNXR103121,,
1353,PPNDH,MNXR138717,MNXR126086,
1354,PPPGO,MNXR103128,,
1355,PPPNDO,MNXR103134,MNXR110533,
1356,PPRDNDH,MNXR103138,,
1357,PPS,MNXR103140,,
1358,PPTRIAT,MNXR112429,,
1359,PPTSERDC,MNXR107292,MNXR116127,
1360,PPTT,MNXR103150,,
1361,PPYRDC,MNXR125761,MNXR138719,
1362,PRAGSr,MNXR103139,,
1363,PRAIS,MNXR138720,MNXR139261,
1364,PRAIi,MNXR103156,,
1365,PRAMPC,MNXR103154,,
1366,PRASCSi,MNXR108987,,
1367,PRATPP,MNXR103155,MNXR139237,
1368,PRDX,MNXR103159,,
1369,PRFGS,MNXR139278,MNXR138721,
1370,PRMICI,MNXR103169,,
1371,PROD2,MNXR139796,MNXR103187,
1372,PROLRM,MNXR106886,,
1373,PROP2MO,MNXR114022,,
1374,PROTRS,MNXR103208,,
1375,PRPPS,MNXR103215,MNXR106802,
1376,PSCVT,MNXR103226,,
1377,PSD120,MNXR107292,MNXR103229,
1378,PSD140,MNXR103230,MNXR107292,
1379,PSD141,MNXR107292,MNXR103231,
1380,PSD150,MNXR107292,,
1381,PSD160,MNXR107292,MNXR103232,
1382,PSD161,MNXR103233,MNXR107292,
1383,PSD170,MNXR107292,,
1384,PSD180,MNXR107292,MNXR103234,
1385,PSD181,MNXR103235,MNXR107292,
1386,PSDai150,MNXR107292,,
1387,PSDai170,MNXR107292,,
1388,PSDi140,MNXR107292,,
1389,PSDi150,MNXR107292,,
1390,PSDi160,MNXR107292,,
1391,PSDi170,MNXR107292,,
1392,PSDi180,MNXR107292,,
1393,PSERT,MNXR103225,,
1394,PSP_L,MNXR103260,,
1395,PSQLDL,MNXR104539,,
1396,PSSA120,MNXR103266,MNXR107178,
1397,PSSA140,MNXR103267,MNXR107178,
1398,PSSA141,MNXR107178,MNXR103268,
1399,PSSA150,MNXR107178,,
1400,PSSA160,MNXR107178,MNXR103269,
1401,PSSA161,MNXR107178,MNXR103270,
1402,PSSA170,MNXR107178,,
1403,PSSA180,MNXR103271,MNXR107178,
1404,PSSA181,MNXR103272,MNXR107178,
1405,PSSAai150,MNXR107178,,
1406,PSSAai170,MNXR107178,,
1407,PSSAi140,MNXR107178,,
1408,PSSAi150,MNXR107178,,
1409,PSSAi160,MNXR107178,,
1410,PSSAi170,MNXR107178,,
1411,PSSAi180,MNXR107178,,
1412,PTA2,MNXR102416,,
1413,PTAr,MNXR103319,,
1414,PTC6MT,MNXR140701,,
1415,PTLACS,MNXR113528,,
1416,PTPATi,MNXR95892,MNXR138056,
1417,PTRCAT1,MNXR103335,,
1418,PTRCTA,MNXR103337,,
1419,PU5PG,MNXR106808,,
1420,PUNP1,MNXR103343,,
1421,PUNP2,MNXR103344,MNXR138728,
1422,PUNP3,MNXR103345,,
1423,PUNP4,MNXR138729,MNXR103346,
1424,PUNP5,MNXR103347,,
1425,PUNP6,MNXR138730,MNXR103348,
1426,PUNP7,MNXR103349,,
1427,PUTA3,MNXR103352,,
1428,PYACOADH,MNXR102822,MNXR122588,
1429,PYAM5PO,MNXR103355,,
1430,PYDAMK,MNXR103357,,
1431,PYDXK,MNXR103361,,
1432,PYDXNK,MNXR103362,,
1433,PYDXOR,MNXR103366,,
1434,PYK,MNXR103371,,
1435,PYNP2r,MNXR103377,,
1436,PYRS,MNXR103066,,
1437,QMO3,MNXR103393,,
1438,QUINHYDs,MNXR121824,MNXR103396,
1439,QULNS,MNXR103400,,
1440,RAFGH,MNXR103419,,
1441,RBFK,MNXR103429,,
1442,RBFSa,MNXR97501,,
1443,RBFSb,MNXR103430,,
1444,RBK,MNXR106804,MNXR103431,
1445,RBK_L1,MNXR103433,,
1446,RBP4E,MNXR103434,,
1447,RBTDG,MNXR138740,,
1448,RE0691C,MNXR103470,MNXR138743,
1449,REDS1,MNXR101421,,
1450,REDS10,MNXR109248,,
1451,REDS11,MNXR94953,,
1452,REDS12,MNXR94888,,
1453,REDS13x,MNXR109249,,
1454,REDS13y,MNXR109250,,
1455,REDS14,MNXR109251,,
1456,REDS15,MNXR94941,,
1457,REDS16,MNXR94876,,
1458,REDS17x,MNXR109252,,
1459,REDS17y,MNXR109253,,
1460,REDS18,MNXR109254,,
1461,REDS19,MNXR94942,,
1462,REDS2,MNXR100913,,
1463,REDS20,MNXR94877,,
1464,REDS21x,MNXR109080,,
1465,REDS21y,MNXR109081,,
1466,REDS22,MNXR108591,,
1467,REDS3,MNXR94951,,
1468,REDS32,MNXR101421,,
1469,REDS4,MNXR94886,,
1470,REDS5x,MNXR108883,,
1471,REDS5y,MNXR108884,,
1472,REDS6,MNXR109245,,
1473,REDS7,MNXR94952,,
1474,REDS8,MNXR94887,,
1475,REDS9x,MNXR109246,,
1476,REDS9y,MNXR109247,,
